rg	i	u	d	c1	c2	c3	c4	p	p4	j					
#韻攝	韻系在廣韻的次序	開合呼	等	平聲韻目	上聲韻目	去聲韻目	入聲韻目	舒聲韻音值	促聲韻音值	同攝呼等下的顯示次序	註	平聲韻系在廣韻的次序	上聲韻系在廣韻的次序	入聲韻系在廣韻的次序	入聲韻系在廣韻的次序
梗	45	合	2	耕	耿	諍	麥	uɐŋ	uɐk	1		下13	39	44	21
梗	46	開	3D	清	靜	勁	昔	jæŋ	jæk	1	(據邵，王三清沒分重紐，不過廣韻、韻鏡實在有)	下14	40	45	22
梗	46	合	3D	清	靜	勁	昔	juæŋ	juæk	1		下14	40	45	22
梗	46	開	3C	清	靜	勁	昔	iæŋ	iæk	1		下14	40	45	22
梗	46	合	3C	清	靜	勁	昔	iuæŋ	iuæk	1		下14	40	45	22
梗	47	開	4	青	迥	徑	錫	ɛŋ	ɛk	1		下15	41	46	23
梗	47	合	4	青	迥	徑	錫	uɛŋ	uɛk	1		下15	41	46	23
曾	48	開	3B	蒸	拯	證	職	ieŋ	iek			下16	42	47	24
曾	48	合	3B				職		iuek						24
曾	49	開	1	登	等	嶝	德	əŋ	ək			下17	43	48	25
曾	49	合	1	登	等	嶝	德	uəŋ	uək			下17	43	48	25
流	50		3B	尤	有	宥		iəu		1		下18	44	49	
流	51		1	侯	厚	候		əu		1		下19	45	50	
流	52		3B	幽	黝	幼		ieu		2		下20	46	51	
深	53		3D	侵	寑	沁	緝	jem	jep			下21	47	52	26
深	53		3C	侵	寑	沁	緝	iem	iep			下21	47	52	26
咸	54		1	覃	感	勘	合	ɒm	ɒp	2		下22	48	53	27
咸	55		1	談	敢	闞	盍	ɑm	ɑp	1		下23	49	54	28
咸	56		3D	鹽	琰	豔	葉	jæm	jæp	1		下24	50	55	29
咸	56		3C	鹽	琰	豔	葉	iæm	iæp	1		下24	50	55	29
咸	57		4	添	忝	㮇	怗	ɛm	ɛp	1	(帖同怗)	下25	51	56	30
咸	58		2	咸	豏	陷	洽	ɐm	ɐp	2		下26	53	58	31
咸	59		2	銜	檻	鑑	狎	am	ap	1		下27	54		32
咸	60		3A	嚴	儼	釅	業	iɐm	iɐp	1		下28	52	57	33
咸	61		3A	凡	梵	范	乏	iɐm	iɐp	2	(邵認為凡同嚴)	下29	55		34
